iter	Passed	Remaining
614	1373	859
615	1375	857
616	1377	854
617	1380	853
618	1382	850
619	1384	848
620	1386	846
621	1388	843
622	1390	841
623	1392	838
624	1394	836
625	1396	834
626	1398	831
627	1400	829
628	1402	827
629	1404	824
630	1406	822
631	1408	820
632	1410	817
633	1412	815
634	1414	813
635	1417	811
636	1419	809
637	1422	806
638	1424	804
639	1426	802
640	1427	799
641	1430	797
642	1432	795
643	1434	792
644	1436	790
645	1438	788
646	1440	785
647	1442	783
648	1444	781
649	1446	778
650	1448	776
651	1450	774
652	1452	771
653	1455	770
654	1457	767
655	1459	765
656	1461	763
657	1463	760
658	1466	758
659	1468	756
660	1470	754
661	1472	751
662	1474	749
663	1477	747
664	1480	745
665	1482	743
666	1484	741
667	1486	738
668	1489	736
669	1491	734
670	1493	732
671	1495	730
672	1497	727
673	1499	725
674	1502	723
675	1504	720
676	1506	718
677	1508	716
678	1510	714
679	1512	711
680	1514	709
681	1516	707
682	1519	705
683	1521	702
684	1523	700
685	1525	698
686	1527	695
687	1529	693
688	1531	691
689	1534	689
690	1536	686
691	1538	684
692	1540	682
693	1542	680
694	1544	677
695	1546	675
696	1548	673
697	1551	671
698	1553	668
699	1555	666
700	1558	664
701	1560	662
702	1562	660
703	1564	657
704	1566	655
705	1569	653
706	1571	651
707	1573	648
708	1575	646
709	1577	644
710	1580	642
711	1582	640
712	1584	637
713	1586	635
714	1589	633
715	1591	631
716	1593	629
717	1595	626
718	1598	624
719	1600	622
720	1602	620
721	1604	617
722	1607	615
723	1609	613
724	1611	611
725	1613	608
726	1615	606
727	1617	604
728	1619	602
729	1622	599
730	1624	597
731	1626	595
732	1628	593
733	1630	590
734	1632	588
735	1634	586
736	1636	584
737	1638	581
738	1641	579
739	1643	577
740	1645	575
741	1647	572
742	1649	570
743	1651	568
744	1654	566
745	1656	563
746	1658	561
747	1660	559
748	1662	557
749	1664	554
750	1666	552
751	1668	550
752	1671	548
753	1673	546
754	1675	543
755	1677	541
756	1680	539
757	1682	537
758	1684	534
759	1686	532
760	1688	530
761	1690	528
762	1693	525
763	1695	523
764	1697	521
765	1700	519
766	1702	517
767	1704	514
768	1706	512
769	1709	510
770	1711	508
771	1713	506
772	1715	503
773	1717	501
774	1719	499
775	1722	497
776	1724	494
777	1726	492
778	1728	490
779	1730	488
780	1732	485
781	1735	483
782	1737	481
783	1739	479
784	1741	476
785	1743	474
786	1746	472
787	1748	470
788	1750	468
789	1752	465
790	1754	463
791	1756	461
792	1759	459
793	1761	456
794	1763	454
795	1765	452
796	1767	450
797	1769	447
798	1772	445
799	1774	443
800	1776	441
801	1778	439
802	1780	436
803	1782	434
804	1785	432
805	1787	430
806	1789	427
807	1791	425
808	1793	423
809	1795	421
810	1797	418
811	1799	416
812	1801	414
813	1803	412
814	1805	409
815	1807	407
816	1810	405
817	1812	403
818	1814	401
819	1816	398
820	1818	396
821	1820	394
822	1823	392
823	1825	389
824	1827	387
825	1829	385
826	1831	383
827	1834	380
828	1836	378
829	1838	376
830	1840	374
831	1842	372
832	1844	369
833	1847	367
834	1849	365
835	1851	363
836	1853	361
837	1856	358
838	1858	356
839	1861	354
840	1863	352
841	1865	350
842	1867	347
843	1869	345
844	1872	343
845	1875	341
846	1877	339
847	1879	336
848	1881	334
849	1883	332
850	1886	330
851	1888	328
852	1890	325
853	1892	323
854	1894	321
855	1896	319
856	1898	316
857	1900	314
858	1902	312
859	1904	310
860	1906	307
861	1908	305
862	1911	303
863	1913	301
864	1915	298
865	1917	296
866	1919	294
867	1921	292
868	1923	290
869	1926	287
870	1928	285
871	1930	283
872	1932	281
873	1934	278
874	1936	276
875	1938	274
876	1940	272
877	1942	269
878	1944	267
879	1946	265
880	1949	263
881	1951	261
882	1953	258
883	1955	256
884	1957	254
885	1959	252
886	1961	249
887	1964	247
888	1966	245
889	1968	243
890	1970	241
891	1972	238
892	1974	236
893	1976	234
894	1978	232
895	1980	229
896	1982	227
897	1984	225
898	1987	223
899	1989	221
900	1991	218
901	1993	216
902	1995	214
903	1997	212
904	1999	209
905	2001	207
906	2003	205
907	2005	203
908	2007	201
909	2009	198
910	2012	196
911	2014	194
912	2016	192
913	2018	189
914	2020	187
915	2022	185
916	2025	183
917	2027	181
918	2029	178
919	2031	176
920	2033	174
921	2035	172
922	2037	170
923	2039	167
924	2041	165
925	2043	163
926	2045	161
927	2047	158
928	2050	156
929	2052	154
930	2054	152
931	2056	150
932	2058	147
933	2060	145
934	2062	143
935	2065	141
936	2067	138
937	2069	136
938	2071	134
939	2073	132
940	2075	130
941	2077	127
942	2079	125
943	2081	123
944	2083	121
945	2085	119
946	2087	116
947	2089	114
948	2092	112
949	2094	110
950	2096	108
951	2098	105
952	2101	103
953	2103	101
954	2105	99
955	2107	96
956	2109	94
957	2112	92
958	2115	90
959	2117	88
960	2119	86
961	2121	83
962	2123	81
963	2126	79
964	2128	77
965	2130	74
966	2132	72
967	2134	70
968	2137	68
969	2140	66
970	2142	63
971	2144	61
972	2146	59
973	2148	57
974	2151	55
975	2153	52
976	2155	50
977	2157	48
978	2159	46
979	2162	44
980	2165	41
981	2167	39
982	2169	37
983	2171	35
984	2173	33
985	2176	30
986	2178	28
987	2180	26
988	2182	24
989	2185	22
990	2187	19
991	2189	17
992	2192	15
993	2194	13
994	2196	11
995	2198	8
996	2201	6
997	2204	4
998	2206	2
999	2208	0
